	sentence	lemmatized	pos tags	noun chunks	lemmatized_iliass	pos tags_iliass	noun chunks_iliass
0	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die für ein Sicherungsprojekt vorzulegenden Nachweis-Items anzugeben.	"('muss', 'muss')
('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('Nachweis-Items', 'Nachweis-Item')
('bieten', 'bieten')
('vorzulegenden', 'vorlegen')
('anzugeben', 'angeben')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
('Nachweis-Items', 'Nachweis-Items')"	"('muss', 'VERB')
('bieten', 'VERB')
('vorzulegenden', 'VERB')
('anzugeben', 'VERB')"	"('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('Nachweis-Items', 'Nachweis Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Sicherungsprojekt', 'Sicherung Projekt')"	"('muss', 'muss')
('Möglichkeit', 'Möglichkeit')
('Nutzer', 'Nutzer')
('Nachweis-Items', 'Nachweis-Item')
('bieten', 'bieten')
('vorzulegenden', 'vorlegen')
('anzugeben', 'angeben')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')"	"('muss', 'VERB')
('bieten', 'VERB')
('vorzulegenden', 'ADJ')
('anzugeben', 'VERB')"
1	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Nachweisarten der für ein Sicherungsprojekt zu liefernden Nachweis-Items anzugeben.	"('muss', 'muss')
('bieten', 'bieten')
('Nutzer', 'Nutzer')
('Nachweisarten', 'Nachweisarten')
('Nachweis-Items', 'Nachweis-Item')
('Möglichkeit', 'Möglichkeit')
('liefernden', 'liefernd')
('anzugeben', 'angeben')
('Sicherungsprojekt', 'Sicherungsprojekt')
('Nachweis-Items', 'Nachweis-Item')
('OPENCOSS-Plattform', 'OPENCOSS-Plattform')
