41,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts zu löschen.","('muss', 'muss')
('bieten', 'bieten')
('löschen', 'löschen')","('muss', 'VERB')
('bieten', 'VERB')
('löschen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', ' Möglichkeit')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')"
42,"Wenn ein Nutzer einen Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts löschen möchte, muss die OPENCOSS-Plattform eine Bestätigung der Aktion durch den Benutzer verlangen.","('löschen', 'löschen')
('möchte', 'mögen')
('muss', 'muss')
('verlangen', 'verlangen')","('löschen', 'VERB')
('möchte', 'VERB')
('muss', 'VERB')
('verlangen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Nachweisrückverfolgbarkeitslink', ' Nachweisrückverfolgbarkeitslink')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Aktion', ' Aktion')
('Bestätigung', ' Bestätigung')
('Benutzer', ' Benutzer')"
43,"Wenn ein Nachweis-Item eines Sicherungsprojekts die Quelle oder das Ziel eines Nachweisrückverfolgbarkeitslinks ist und das Nachweis-Item aus dem Projekt gelöscht wird, muss die OPENCOSS-Plattform auch den Nachweisrückverfolgbarkeitslink aus dem Projekt entfernen.","('gelöscht', 'löschen')
('muss', 'muss')
('entfernen', 'entfernen')","('gelöscht', 'VERB')
('muss', 'VERB')
('entfernen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('den Nachweisrückverfolgbarkeitslink', 'den Nachweisrückverfolgbarkeitslink')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Projekt', ' Projekt')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')
('Nachweis-Item', ' Nachweis-Item')
('Quelle', ' Quelle')
('Ziel', ' Ziel')"
44,"Wenn ein Nachweis-Charakterisierungsmodell für ein Sicherungsprojekt ausgewählt wurde, muss die OPENCOSS-Plattform die erforderlichen fehlenden Links entsprechend dem Modell anzeigen.","('ausgewählt', 'auswählen')
('muss', 'muss')
('erforderlichen', 'erforderlich')
('fehlenden', 'fehlend')
('anzeigen', 'anzeigen')","('ausgewählt', 'VERB')
('muss', 'VERB')
('erforderlichen', 'ADJ')
('fehlenden', 'ADJ')
('anzeigen', 'VERB')","('Modell', ' Modell')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('erforderlichen fehlenden Links', 'erforderlichen fehlenden Links')
('Sicherungsprojekt', 'Sicherung Projekt')
('Nachweis-Charakterisierungsmodell', 'Nachwei Charakterisierungs Modell')"
45,"Die OPENCOSS-Plattform muss fähig sein Nachweisrückverfolgbarkeitslinks zwischen den Nachweis-Items eines Sicherungsprojekts mit Hilfe von Rückverfolgbarkeitsmatrizen aufzuzeigen.","('muss', 'muss')
('fähig', 'fähig')
('aufzuzeigen', 'aufzeigen')","('muss', 'VERB')
('fähig', 'ADJ')
('aufzuzeigen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('fähig sein Nachweisrückverfolgbarkeitslinks', 'fähig sein Nachweisrückverfolgbarkeitslinks')
('Hilfe', ' Hilfe')
('Nachweis-Items', 'Nachwei Item')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Rückverfolgbarkeitsmatrizen', 'Rückverfolgbarkeit Matrize')"
46,"Bei der Verwendung von Matrizen zur Darstellung der Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts muss die OPENCOSS-Plattform dem Nutzer die Möglichkeit bieten, Quell- und Zielnachweisarten aus anderen Verlinkungs-Matrizen auszuwählen.","('muss', 'muss')
('bieten', 'bieten')
('anderen', 'ander')
('auszuwählen', 'auswählen')","('muss', 'VERB')
('bieten', 'VERB')
('anderen', 'ADJ')
('auszuwählen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', ' Möglichkeit')
('Darstellung', ' Darstellung')
('Nutzer', ' Nutzer')
('Quell- und Zielnachweisarten', 'Quell- und Zielnachwei Art')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')
('Verlinkungs-Matrizen', 'Verlinkung Matrize')
('Matrizen', ' Matrize')
('Verwendung', ' Verwendung')"
47,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks in Rückverfolgbarkeitsmatrizen zu spezifizieren.","('muss', 'muss')
('bieten', 'bieten')
('spezifizieren', 'spezifizieren')","('muss', 'VERB')
('bieten', 'VERB')
('spezifizieren', 'VERB')","('Möglichkeit', ' Möglichkeit')
('Nutzer', ' Nutzer')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Rückverfolgbarkeitsmatrizen', 'Rückverfolgbarkeit Matrize')
('Nachweisrückverfolgbarkeitslinks', ' Nachweisrückverfolgbarkeitslinks')"
48,"Die OPENCOSS-Plattform muss fähig sein, die Beweisketten, zu denen ein Nachweis-Item eines Sicherungsprojekts gehört, anhand von Modellen darzustellen.","('muss', 'muss')
('fähig', 'fähig')
('gehört', 'hören')
('darzustellen', 'darstellen')","('muss', 'VERB')
('fähig', 'ADJ')
('gehört', 'VERB')
('darzustellen', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Beweisketten', ' Beweiskette')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweis-Item', ' Nachweis-Item')
('Modellen', ' Modell')"
49,"Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Tabellen zur Darstellung der Nachweis-Item-Rückverfolgbarkeit eines Sicherungsprojekts zu definieren.","('muss', 'muss')
('bieten', 'bieten')
('definieren', 'definieren')","('muss', 'VERB')
('bieten', 'VERB')
('definieren', 'VERB')","('Sicherungsprojekts', 'Sicherung Projekt')
('Möglichkeit', ' Möglichkeit')
('Darstellung', ' Darstellung')
('Nutzer', ' Nutzer')
('Tabellen', ' Tabelle')
('Nachweis-Item-Rückverfolgbarkeit', 'Nachweis-Item Rückverfolgbarkeit')
('OPENCOSS-Plattform', 'Opencoss Plattform')"
50,"Bei der Darstellung der Nachweis-Item-Rückverfolgbarkeit mittels Tabellen muss die OPENCOSS-Plattform, die Angabe der Nachweisarten, die in die Tabelle aufgenommen werden sollen, verlangen.","('muss', 'muss')
('aufgenommen', 'aufnehmen')
('sollen', 'sollen')
('verlangen', 'verlangen')","('muss', 'VERB')
('aufgenommen', 'VERB')
('sollen', 'VERB')
('verlangen', 'VERB')","('Angabe', ' Angabe')
('Darstellung', ' Darstellung')
('Tabellen', ' Tabelle')
('Nachweis-Item-Rückverfolgbarkeit', 'Nachweis-Item Rückverfolgbarkeit')
('OPENCOSS-Plattform', 'Opencoss Plattform')
('Nachweisarten', ' Nachweisarten')
('Tabelle', ' Tabelle')"
